gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant_per_contrast,FDR_pooled,significant_pooled
SMARCC2,0.06913295809881248,1.0683220806565372,0.28858581303523473,0.34879843144818945,False,0.3469943039488478,False
GPR52,-0.08023108192620385,-1.0683010186501183,0.28859525216766363,0.34879843144818945,False,0.3470003923510279,False
PROL1,-0.02784390243902439,-1.0681452388328219,0.288665072912827,0.34886155047666617,False,0.34706855686530774,False
DLG3,-0.13322970606629347,-1.0681045450531825,0.28868331383588464,0.34886232964221925,False,0.34708522620438137,False
FAM71A,-0.09144702939337085,-1.0677064933302864,0.2888617816346355,0.34905672473263144,False,0.34728400361950085,False
TSPAN17,-0.0963055659787333,-1.0672138807869844,0.2890827509473479,0.34930245126049,False,0.3475338580651924,False
RBBP9,0.12311694809255513,1.0669769608235815,0.289189066533875,0.3494096186909992,False,0.3476458599099944,False
CLRN2,0.02499230769230769,1.0667570461527582,0.2892877751696701,0.34950758260291764,False,0.34774870736154,False
PCDHB17,0.2226136960600369,1.0666394452428383,0.28934056979123707,0.34955006621662704,False,0.3478068989848008,False
SLC26A11,-0.10396991869918626,-1.0664732817098712,0.289415176920496,0.3496188945665217,False,0.3478824981349505,False
ODF3,-0.04783539712320199,-1.0663613535754415,0.2894654398931225,0.3496515394931032,False,0.34792008556053633,False
ZNF711,0.15347817385866147,1.0663345607963985,0.2894774724725005,0.3496515394931032,False,0.3479292747451415,False
ZNF41,-0.08497629768605641,-1.0662951418702686,0.2894951760512514,0.3496516211021694,False,0.3479418836859107,False
SCARNA8,0.024966666666666668,1.0662329401573791,0.28952311320207397,0.34966406203364514,False,0.34796831003542184,False
C4orf14,0.08596572858036922,1.0658768567397159,0.2896830793893627,0.34981185189204494,False,0.3481183617392111,False
FAM128B,-0.09946110068792358,-1.0658562771817954,0.2896923263609887,0.34981185189204494,False,0.3481209665105227,False
AGBL1,-0.0665251407129456,-1.0658427245907083,0.2896984160302374,0.34981185189204494,False,0.3481209665105227,False
LOC100302650,-0.27574746716697884,-1.0657562076969544,0.28973729326885617,0.3498242196274912,False,0.34816240840950013,False
ZFATAS,-0.07597116948092555,-1.0657413994300056,0.2897439478716349,0.3498242196274912,False,0.3481651293545484,False
VN1R5,0.06847779862414008,1.0653733073677967,0.28990939636292773,0.35000266059501917,False,0.348358658886112,False
GGNBP2,-0.06498042526579262,-1.064799960019196,0.290167231196976,0.3502926094934693,False,0.34864734557808835,False
CELA1,-0.09587210756722955,-1.0647308090198397,0.29019833908823794,0.3503088328521314,False,0.3486769275609162,False
NCRNA00173,0.28509493433395794,1.0644523131789816,0.290323644857277,0.3504387569522298,False,0.34880357429041176,False
C7orf49,-0.07333508442776981,-1.0641438746470866,0.2904624662580676,0.3505849784507761,False,0.3489650717952066,False
SKI,0.09969868667917758,1.06381802717448,0.29060917246226814,0.3507406984377505,False,0.34913074810179684,False
TMEM134,-0.08997235772357826,-1.0636153693410602,0.29070044064678763,0.3508294945375707,False,0.34921923418999995,False
APOA1,-0.4855937460913078,-1.0635470976227368,0.29073119165256867,0.35084524960154767,False,0.3492508849796308,False
ANKRA2,0.09345390869293446,1.063015929842208,0.2909705168445467,0.3511126881898955,False,0.3495066170040279,False
LOC285692,0.02486923076923077,1.0626586815966756,0.2911315560243871,0.35128563262975465,False,0.3496841638615372,False
ENO2,0.23342557848656043,1.0621900774082729,0.29134288442771306,0.3515192323919084,False,0.3499326947968278,False
FTL,0.11385678549093825,1.062055264664972,0.29140370095550955,0.3515712149421245,False,0.35000044073751235,False
KCND1,-0.21094065040650545,-1.0619617884865769,0.2914458748968685,0.351586083223574,False,0.35004579364544225,False
C17orf28,0.14939643527204893,1.0619493394833472,0.2914514918682255,0.351586083223574,False,0.350047238503048,False
BPIL1,0.1130030644152595,1.0613880216009168,0.2917048346845939,0.3518702879323898,False,0.35033029257836285,False
RNASE8,-0.030864540337711067,-1.0613250984430007,0.2917332435501315,0.3518782425307069,False,0.3503591051049404,False
ZNF605,0.16668380237648517,1.0612947949718214,0.29174692579036415,0.3518782425307069,False,0.35037023098173753,False
LOR,-0.11639143214509068,-1.0598551815913109,0.2923974280803272,0.35262085120314485,False,0.3510716977514348,False
BPESC1,0.07358323952470293,1.0598347668537704,0.2924066597948676,0.35262085120314485,False,0.3510774666299099,False
GOT1L1,-0.027273170731707312,-1.059814135111954,0.2924159898431809,0.35262085120314485,False,0.35108153780123835,False
MGC34034,-0.026309756097560977,-1.0593201520711575,0.29263943877181536,0.3528688427861581,False,0.3513079669947893,False
TNNC2,0.3834694183864942,1.0587081133402743,0.29291645114668174,0.3531813878510072,False,0.3515830885219907,False
ARHGAP12,-0.08495565978736686,-1.0584510201689312,0.29303286651959026,0.3532939317981051,False,0.3517068505988677,False
LOC285205,0.08550506566604132,1.0584232775225724,0.2930454306678018,0.3532939317981051,False,0.3517166073958283,False
TFAMP1,0.10256278924327705,1.0574004521270446,0.2935089071621525,0.35381495500618554,False,0.3522301655460767,False
HN1,-0.14208511569731286,-1.057390776495653,0.2935132939063217,0.35381495500618554,False,0.3522301655460767,False
GGA2,0.09447917448405718,1.0562560376508066,0.29402807339759834,0.35441394596186676,False,0.3527785275084064,False
SFRS2IP,0.05490581613508283,1.0556375013364419,0.2943089348422947,0.3547309223772469,False,0.353056752113713,False
RNF213,0.15915397123202268,1.0555132942746823,0.2943653561630396,0.3547773587409376,False,0.35311375291413843,False
ABCC11,0.22866635397123258,1.055337383054557,0.2944452768468313,0.3548511715152841,False,0.3531829121237406,False
