gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant_per_contrast,FDR_pooled,significant_pooled
CLASP2,0.01465501108647338,0.21373783300522067,0.8310401760583868,0.8565821489205524,False,0.8576441898148757,False
OR51B2,0.004803725055432372,0.21317761542456679,0.8314763087884897,0.8569872688715571,False,0.858021102526104,False
PXT1,0.01857538802660741,0.21271300377867902,0.8318380514965537,0.8572748193392394,False,0.8583483107897053,False
SLC25A21,-0.06342627494456643,-0.2127085568732831,0.8318415139935287,0.8572748193392394,False,0.8583483107897053,False
OR13C5,-0.003914700665188467,-0.21220043476324324,0.8322371751459356,0.8576381335955654,False,0.8587007147771699,False
ZNF438,-0.018785654101994176,-0.21212839916284526,0.8322932708262396,0.8576514988818814,False,0.8587362487263421,False
RBP2,-0.09984966740576429,-0.21187791805695783,0.8324883325946341,0.8578080554564502,False,0.8589039839730028,False
MXRA8,0.044666430155210435,0.21151486959659782,0.832771074503579,0.8580549380163036,False,0.8591733421680543,False
GMCL1L,-0.02347592017738398,-0.21060014074843977,0.8334835615473836,0.8587445647338524,False,0.8597518289948585,False
OR2F1,0.005016696230598671,0.21039208141488888,0.8336456393452772,0.8588670584706797,False,0.8598966453265073,False
LOC200030,-0.02074110864744938,-0.21025559781961545,0.833751963667006,0.8589321022298875,False,0.8599727613173822,False
RAB28,-0.011402527716183997,-0.2098526043181575,0.8340659241480844,0.8592110351480423,False,0.8602406529846105,False
GATAD2B,0.01553157427938423,0.20954223955142706,0.8343077385005189,0.8594156218564083,False,0.86046767448331,False
HIST1H1D,-0.03477015521064475,-0.20938754948867228,0.8344282680064505,0.8594952590171586,False,0.8605807912968965,False
KEL,-0.04000538802660758,-0.20930808144206128,0.8344901884721451,0.8595145213458437,False,0.8606222678240091,False
KDM4C,-0.011447538802661583,-0.2091421441454949,0.8346194879911926,0.8596031776726317,False,0.860710843636587,False
CPA1,0.043151929046563064,0.20894891490788053,0.8347700592750942,0.8597137322011289,False,0.8608325394425713,False
ZNF500,0.01455414634146468,0.20887552142834875,0.8348272517601492,0.8597137905857719,False,0.8608803231767771,False
MGRN1,-0.012988270509985966,-0.20883789111086917,0.834856575843135,0.8597137905857719,False,0.8608993679300954,False
CXCR2,0.06141266075388252,0.20842562037854492,0.8351778602009127,0.86000010903617,False,0.8611846661300236,False
LDLRAD2,0.027019290465633894,0.20828042862111232,0.8352910153809714,0.8600720939671419,False,0.8612689656200926,False
PHLDB3,0.026664678492243077,0.2075416407089842,0.8358668429513822,0.8606204455487517,False,0.861829085528394,False
GOLGA9P,-0.016779889135255133,-0.20744244115419744,0.8359441680425495,0.8606555016495228,False,0.8618751956947183,False
NPAT,0.014465942350341265,0.20732218816015152,0.8360379062325916,0.8607074515322021,False,0.8619450238671917,False
SIAH2,0.011571685144120991,0.20700177914345053,0.8362876791533949,0.8609200266758237,False,0.8621205507177455,False
ZFY,-0.14204711751662913,-0.2069074340202191,0.8363612285048471,0.8609511750751019,False,0.8621801476604997,False
LZTS2,-0.021619312638582855,-0.20670753465597178,0.8365170703588456,0.8610670278585073,False,0.8622993393667255,False
DPPA3,-0.008662505543237248,-0.2065545795754751,0.8366363187532103,0.8611452032009261,False,0.8623757960721706,False
C9orf84,0.03518691796008877,0.20628954048333148,0.8368429601992373,0.861313318987798,False,0.8625663722642655,False
GJC2,-0.05834953436807222,-0.20610932042987096,0.8369834777870736,0.8614133634917731,False,0.8626906382233585,False
RPL3L,-0.00467572062084257,-0.2054582923305813,0.8374911281685283,0.8618912267588245,False,0.863155933099537,False
GAN,-0.021064567627494313,-0.2036808485364939,0.8388774679828339,0.8632732836105883,False,0.8644611759932256,False
SDR16C5,0.08122370288248426,0.203297732511794,0.8391763505054973,0.8635361731606555,False,0.8647354638836794,False
ATF6B,0.01369840354766616,0.20174625202751378,0.8403869550591009,0.8647371746913819,False,0.8658254356536874,False
LOC374491,0.037675764966740743,0.2011661507153171,0.8408397003675052,0.865097833380648,False,0.8662444622171628,False
PLEKHA3,-0.010314345898006394,-0.20116149992922175,0.8408433303305728,0.865097833380648,False,0.8662444622171628,False
SSX5,0.014872372505543248,0.2011092313870738,0.8408841264383137,0.865097833380648,False,0.8662701320221361,False
DAG1,0.014190155210647148,0.20105429461002447,0.8409270055946326,0.865097833380648,False,0.8662922224816735,False
ATAD1,0.024477583148563298,0.20099331583298516,0.8409746012002607,0.865097833380648,False,0.8663295763166605,False
FERD3L,0.006322993348115306,0.20096274608418646,0.8409984619474062,0.865097833380648,False,0.8663429027626144,False
PTHLH,-0.050898470066518264,-0.20058885418227929,0.8412903094489692,0.8653532835425494,False,0.8666322881151012,False
IQCF3,0.003947849223946783,0.19969780001836654,0.8419859252297921,0.8660240028469033,False,0.8672362077332739,False
MED15,-0.013941419068734362,-0.19958374985200814,0.8420749693328927,0.8660707961896585,False,0.8673166575922869,False
TEX261,-0.011598713968956176,-0.19942897733531836,0.8421958104716248,0.8661502861275898,False,0.8674298551065851,False
FABP9,0.0037731485587583144,0.19832393346999674,0.8430587002022399,0.8669928829724866,False,0.8682123372781019,False
TMEM99,-0.030392682926830616,-0.19823175657277844,0.8431306865006358,0.8670220777929648,False,0.8682574239666327,False
SUPT4H1,0.020487960088692247,0.19774089605473266,0.8435140502984061,0.8673714538926784,False,0.8685845386595442,False
METTL12,0.025599401330377525,0.19746815009231267,0.843727082049305,0.867545653312369,False,0.8687475008418344,False
NEK11,-0.031374079822613865,-0.19602513413269937,0.8448543600616731,0.8686598417199097,False,0.8697726940794855,False
MYST1,-0.011653525498894979,-0.19576267774021194,0.8450594244563586,0.8688257650914337,False,0.8699499266189012,False
BNIP3,-0.05450889135254755,-0.19540099291941568,0.8453420361218564,0.8690713953864433,False,0.8701843825624054,False
FLJ45340,0.028518603104210172,0.1953116125638558,0.8454118788426994,0.8690982700720995,False,0.8702449817596011,False
PGLS,-0.01816022172949694,-0.19517605991678416,0.845517803404107,0.8691622328283611,False,0.8703201272150888,False
C5orf27,-0.025046651884701676,-0.19506591213881802,0.8456038779801143,0.8691762500428187,False,0.8703974292859364,False
PAX1,-0.014835787139689582,-0.1949810570863007,0.8456701889181027,0.8691762500428187,False,0.870443088789456,False
GPR68,-0.04286286031041797,-0.19495627838083734,0.8456895527253057,0.8691762500428187,False,0.8704517221644642,False
ZMYM6,-0.010454456762751363,-0.19493489623675955,0.8457062622984132,0.8691762500428187,False,0.8704576233995687,False
?|652919,0.07451241685144105,0.19426237959715006,0.8462318517791689,0.8696583538497241,False,0.8709420766409949,False
DKK3,-0.03534922394677942,-0.19422277234165147,0.8462628080504782,0.8696583538497241,False,0.8709626335686863,False
FAM176B,0.026658580931264275,0.19415297201724052,0.846317363228704,0.8696694777310616,False,0.87099617391657,False
?|90288,-0.031487117516630025,-0.1935607382676577,0.8467802766313196,0.8700862303665682,False,0.8713708127834605,False
MFN1,0.01124190687361093,0.1935221656715355,0.846810428357466,0.8700862303665682,False,0.8713905330486522,False
MEIS3,0.038987161862523045,0.1931545630000213,0.8470977902245898,0.8703365237753883,False,0.8716409953934796,False
FCGR3B,0.07502811529933329,0.1927022257565905,0.8474514188640608,0.8706548724982992,False,0.8719709282195743,False
C8B,0.0126059866962306,0.19244674728558817,0.84765116077885,0.8708150963120669,False,0.8721311872960628,False
C1orf213,-0.028623680709534582,-0.1922635541648782,0.8477943935889789,0.8709172532312632,False,0.8722672399639381,False
SPATA2,-0.018578425720619407,-0.19216652208789528,0.8478702619068098,0.8709502013709053,False,0.8723165841659637,False
RIMBP3C,-0.03390374722838141,-0.19192397228945904,0.8480599151625116,0.8710580101429797,False,0.8724725110209226,False
ZNF474,0.02884980044345853,0.19188239900404055,0.8480924228182681,0.8710580101429797,False,0.8724946358506076,False
KIRREL,-0.04887286031041871,-0.19186424919279918,0.8481066148940773,0.8710580101429797,False,0.8724979177754992,False
NCRNA00160,0.0035705099778270497,0.19170977411084664,0.8482274072578949,0.8711370816018258,False,0.8725995447493171,False
SNORA24,-0.011178425720620805,-0.19124524095939188,0.8485906723599634,0.8714485915722787,False,0.872905307488612,False
MIAT,-0.04532405764966274,-0.19120983012205423,0.8486183649815835,0.8714485915722787,False,0.8729224708999105,False
LOC150527,0.014472461197339262,0.19114900598096327,0.8486659322137307,0.8714524394038551,False,0.8729600774125802,False
SMOC2,-0.05743197339245931,-0.19045658349143063,0.84920747714121,0.8719326103595658,False,0.8734378212181797,False
HIST1H2AD,-0.030608625277161794,-0.19043899190804822,0.8492212364888837,0.8719326103595658,False,0.8734406450750851,False
CDK18,0.021239578713968754,0.19023077815640196,0.8493840954714362,0.872054801581851,False,0.8735741597145144,False
TTLL12,-0.01697046563193183,-0.18808026686582122,0.8510665439012707,0.8737071666732322,False,0.8750020363585969,False
ATG10,-0.016768691796009705,-0.1880613182274491,0.8510813713880351,0.8737071666732322,False,0.8750020363585969,False
SLC12A4,-0.025463192904657816,-0.18704790878392363,0.8518744510967108,0.8744761889722958,False,0.8756925281575894,False
