gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant_per_contrast,FDR_pooled,significant_pooled
BCAM,-1.0679996205962077,-6.9770813404933305,5.894706903107504e-10,2.3791162531575924e-09,True,2.3397088901102977e-09,True
MRPS35,0.6423112195121927,6.976570871097821,5.908385561641843e-10,2.3841490336725424e-09,False,2.345020812674264e-09,False
HYI,-0.7745351219512191,-6.976360445248138,5.914033347145387e-10,2.385939803717411e-09,False,2.347144933250014e-09,False
EPM2A,-1.1363278048780483,-6.976276483986506,5.916288344815763e-10,2.3863613450555705e-09,True,2.347922388516585e-09,True
SLC25A11,-0.6094807046070407,-6.974155057262,5.973548784299328e-10,2.408964867615189e-09,False,2.369579395708653e-09,False
SYNRG,-0.5386781029810308,-6.973532775307844,5.99044917723974e-10,2.415286399001588e-09,False,2.3761645653569766e-09,False
SELS,-0.5683344715447163,-6.973180561863983,6.000035870726449e-10,2.4186571416746847e-09,False,2.3798481779138256e-09,False
CAMKK1,0.8949575609756097,6.972420051271631,6.020787728160698e-10,2.4265263437426723e-09,False,2.387840318033887e-09,False
HECA,-0.6461859078590813,-6.971383005034458,6.049200172031622e-10,2.43747910487257e-09,False,2.398628852213979e-09,False
SPATS2L,-0.6390955013550172,-6.968130022657636,6.13918978800678e-10,2.473234374249105e-09,False,2.4328518236462607e-09,False
CEP164,0.706093224932248,6.967087694855859,6.168304541544123e-10,2.4844559958997165e-09,False,2.443656825669973e-09,False
ZFC3H1,0.6965093766937667,6.964833995719944,6.231725095884274e-10,2.5090592227291024e-09,False,2.4680011113679255e-09,False
DNAJA1,0.5634790785907846,6.964826641646264,6.231933099861635e-10,2.5090592227291024e-09,False,2.4680011113679255e-09,False
NCAN,-1.1721258536585373,-6.9643468444316845,6.245518671356522e-10,2.514015680733836e-09,True,2.4732578283893824e-09,True
AZGP1,2.208384173441731,6.962863084534931,6.287717936297957e-10,2.5304856674244023e-09,True,2.4892231590463917e-09,True
HK2,-1.1965906775067765,-6.962569023964094,6.296114777104633e-10,2.5333479576515682e-09,True,2.4922985239268532e-09,True
NFYB,0.5240569647696471,6.9623104575498225,6.303507282723047e-10,2.5358050513116783e-09,False,2.4951002822514026e-09,False
FSIP1,-1.382704119241192,-6.961526682859007,6.325968346028029e-10,2.5443217577742755e-09,True,2.5035459680296117e-09,True
TMIGD2,-1.6464530081300812,-6.96104376414302,6.339847138188093e-10,2.549383881832569e-09,True,2.508733284002138e-09,True
CRYBB1,-1.4415645528455276,-6.960293603129668,6.361466259595903e-10,2.5568875938540757e-09,True,2.51716121495198e-09,True
GPR133,-2.1952887262872602,-6.96028272604063,6.361780267235264e-10,2.5568875938540757e-09,True,2.51716121495198e-09,True
CD300LB,-1.3883210298102973,-6.960261354767134,6.362397273347844e-10,2.5568875938540757e-09,True,2.517279751374862e-09,True
HSBP1L1,-0.993124498644983,-6.959964179272022,6.370983128944453e-10,2.5598163672124002e-09,False,2.520425252208974e-09,False
PCDHGB7,-2.0716740379403804,-6.958645900294038,6.409209066089149e-10,2.5746506983760036e-09,True,2.5350419739507923e-09,True
UCA1,2.6571929539295356,6.957557859394942,6.440930199456375e-10,2.5868664670729064e-09,True,2.546826528408897e-09,True
GPAT2,-2.4108260704607045,-6.955693477802567,6.495647642205539e-10,2.608311372516661e-09,True,2.566415108696035e-09,True
ARID3A,1.475773875338752,6.954002879647578,6.545663387100331e-10,2.6278599754401164e-09,True,2.5850171268891227e-09,True
NAT2,-1.8843319241192429,-6.9507157083156885,6.644009628563592e-10,2.6667997125030337e-09,True,2.6212454086045825e-09,True
WNT5B,-1.4464144715447116,-6.950494127323361,6.650691434020678e-10,2.668938442793809e-09,True,2.6234900193174284e-09,True
CDA,-2.148254200542005,-6.949407754919783,6.683547754256939e-10,2.6815780613214006e-09,True,2.6357952712894337e-09,True
GLOD5,-1.608536260162598,-6.948187584960862,6.720642730095381e-10,2.6959128282644614e-09,True,2.6493704382735204e-09,True
TCP11L2,-1.0891543089430868,-6.947190030148916,6.751121602533636e-10,2.707588326255101e-09,True,2.660856555674805e-09,True
LAGE3,0.758581246612466,6.946291901436748,6.778679961492034e-10,2.7180880203461345e-09,False,2.6706564442653103e-09,False
SULT4A1,-2.5864526829268284,-6.944109050128271,6.846125208918773e-10,2.744573879241273e-09,True,2.6954876058390152e-09,True
CBX6,-1.7805510027100286,-6.943518633267395,6.864481902272894e-10,2.7513736405045015e-09,True,2.7021784611230495e-09,True
CENPJ,0.8232168021680186,6.941802439918604,6.9181179564044e-10,2.772308191430497e-09,False,2.722481274388123e-09,False
PTP4A3,1.6268687804878077,6.941218895450609,6.936449994754969e-10,2.779089676890857e-09,True,2.729153752649574e-09,True
