gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant
ARMS2,0.049276599010745326,0.8850819507768742,0.37676334346916523,0.4361744348147562,False
ZCCHC8,0.03967139689578758,0.8843547975515935,0.3771550406330592,0.43660268849265804,False
DAZ3,0.14809230769230772,0.8841134246668568,0.3772851172146774,0.43672805266175635,False
UBL5,-0.07038146853146188,-0.8836624020568508,0.37752824912165495,0.4369842624921592,False
CDRT15,-0.033398575814429496,-0.8832839090702389,0.37773235746633754,0.43719527606073244,False
SLTM,0.051084052532834434,0.8829454705396295,0.3779149236462118,0.43738133335872476,False
OR52I2,-0.02791517994200919,-0.8828338678295327,0.377975138220227,0.4374257732361068,False
FAM53C,0.05208770254136752,0.8826290798213469,0.3780856458062784,0.4375284080812583,False
SFRS2IP,0.05021350844276817,0.8825553116407454,0.37812545744633097,0.4375492250129241,False
KCNK17,-0.19705677980556002,-0.8821452511472794,0.37834680855564357,0.43778009646471916,False
TNFAIP2,-0.16922142247996952,-0.8820720280073019,0.37838634292077905,0.4378005756570847,False
ZNF470,-0.21305508272216045,-0.8819114905984129,0.3784730286233042,0.4378756043795296,False
SERPINB8,-0.1156080419580352,-0.8812412122846395,0.37883509281997524,0.43826920610700504,False
HOXA11AS,-0.22465393996247318,-0.8809861611132912,0.37897292002468996,0.4384033606332237,False
KRTAP10-11,0.013094405594405594,0.8806787905466841,0.37913906131107766,0.4385702520791039,False
TMEM104,0.06331555517653165,0.8800507602944241,0.3794786669115963,0.4389377680614691,False
IFITM4P,0.04973627835579053,0.8796513718839393,0.37969473280956706,0.43915676099679135,False
SBK2,0.06987780999488316,0.8796198281905875,0.37971180092969453,0.43915676099679135,False
TRAPPC4,-0.06686556370459051,-0.8793210696322149,0.3798734810532201,0.43930924416681005,False
ETNK2,-0.20652459491727804,-0.8792952330696052,0.379887465105444,0.43930924416681005,False
TMC3,0.11467399795326694,0.8791227794940455,0.37998081383091675,0.43939185173942447,False
DCAF4L2,0.11042482517482517,0.878761110967787,0.3801766301733257,0.4395929316594683,False
C15orf5,0.07010809312638616,0.8779533425201125,0.38061420102117427,0.44007350962888786,False
AMDHD1,0.1980496844618802,0.8776820483024352,0.3807612316884864,0.4401931543160489,False
EHMT1,0.052989186423328505,0.8776813876276607,0.3807615897906851,0.4401931543160489,False
C4orf32,-0.1042671840354723,-0.877448891297504,0.3808876215007656,0.44031346927412074,False
CIC,-0.06577795497185868,-0.8773345042920435,0.38094963790189634,0.44035977168826873,False
SPATS1,-0.07479346750810167,-0.8771774232288378,0.38103481159034797,0.44043283594987187,False
MYBPC1,-0.25641761896640025,-0.8770456263544258,0.3811062845551003,0.44049005622469367,False
TMED10P1,0.06276998976632964,0.8764194443227943,0.3814459737425541,0.4408572615597308,False
RPL29P2,0.07618487122633472,0.8753226997563616,0.3820413817787977,0.4415199553095218,False
SAT1,0.09957989084085739,0.8752419049906341,0.3820852668164688,0.4415452218830086,False
STH,-0.015797271021661265,-0.874861191199129,0.38229209971889,0.4417587804370782,False
INTS4L1,0.12628712263346653,0.8747460797159111,0.3823546506725656,0.4418055985468499,False
CC2D2B,-0.1131695377792945,-0.8746713739084893,0.3823952487746673,0.441827046501013,False
HRASLS,0.21230735118540034,0.8743388062467264,0.3825760114616249,0.4420104315895805,False
SLC30A3,0.16096870202967684,0.87422876533879,0.38263583430295567,0.4420540753543222,False
TSPAN17,-0.056426778099949004,-0.8731173520964332,0.3832403678561963,0.4427269748511602,False
SNORA22,0.02087404912161009,0.8730036088268079,0.38330226962728,0.4427729737873459,False
TAX1BP1,0.06071356813918172,0.8729394147205779,0.38333720829013207,0.4427878226879334,False
SOD1,-0.07995510830633279,-0.8717041621765172,0.384009895683932,0.44352515088634376,False
RPS19BP1,0.06065039229063807,0.8716860187979917,0.3840197815155575,0.44352515088634376,False
GAGE8,0.023996153846153844,0.8705095428262285,0.38466114512877014,0.44424030642427514,False
PREPL,0.051648661095009984,0.8704493187761438,0.3846939943622172,0.44425265447312834,False
DHRSX,0.09017907214736454,0.8699306716012711,0.3849769620061404,0.44453642168588214,False
PWRN2,-0.02853725055432372,-0.8698938237197141,0.3849970706283578,0.44453642168588214,False
ENTPD1,0.0965108391608478,0.8698504692111225,0.38502073087238214,0.44453642168588214,False
TM2D1,0.06015194439705951,0.8698364096028324,0.38502840394000143,0.44453642168588214,False
DEFB119,-0.013901091591335494,-0.8694561134391803,0.3852359871782524,0.4447504775104486,False
POGZ,-0.06518999658878144,-0.869242128255927,0.3853528203941117,0.44485974486998725,False
GPR152,0.09591857410881799,0.8658876337092284,0.3871871742999651,0.44695162903531005,False
ANGPTL2,-0.19899816646767832,-0.8653519864296663,0.38748057935132896,0.44726457202038833,False
IQCG,0.1074639092614662,0.8642222899231302,0.3880998258840267,0.44795357256201346,False
KCTD17,-0.09992452669281704,-0.8641493637448779,0.3881398213894818,0.4479739476663084,False
MCCD1,-0.01890533003581784,-0.8640481717931726,0.3881953231047577,0.4480122159817183,False
GHRLOS,0.11654871226334818,0.8638166657869688,0.3883223176783462,0.4481329843128146,False
FOXD4L3,0.05661378986866794,0.863321041716242,0.38859428190240997,0.44842102746148604,False
FOXC2,0.20696300528739497,0.8630730100968045,0.3887304282412467,0.4485523184989063,False
FLJ13197,0.16016053215077664,0.8630192838693442,0.38875992279744237,0.44856053703681414,False
DPRX,0.012537412587412587,0.862123170672227,0.3892520716608125,0.44910254556331514,False
GJB7,0.2490463585195296,0.862042298194571,0.38929650586957254,0.44912796724120657,False
PTPN2,0.0633077008357521,0.8619802522280458,0.38933059822682486,0.4491414553767456,False
ANP32D,-0.05021367047586564,-0.8614207182828583,0.3896381274094299,0.4494676729201643,False
PAGE2,0.07148593723349822,0.8613504157034237,0.38967677737218626,0.4494676729201643,False
PTPRA,-0.07722371652737614,-0.8613156240569149,0.389695905500422,0.4494676729201643,False
DEPDC6,0.11453399283643861,0.8613026408546266,0.3897030436929744,0.4494676729201643,False
ZACN,-0.09205718915231087,-0.8606454538207869,0.3900644708956353,0.44985865064466424,False
NCRNA00202,-0.14030028142589113,-0.8605468397709153,0.39011872243063916,0.44989534020098443,False
CDK11A,0.07975647279549847,0.8599517482045057,0.39044620390996687,0.45024710349081704,False
PHLDA3,0.1820107282960901,0.8594369095706323,0.39072965720604286,0.4505480576823763,False
LOC100129055,0.05164652908067546,0.858762552422566,0.391101126094636,0.4509504616825264,False
SHANK1,-0.16916646767866217,-0.8586907694260801,0.3911406803616686,0.4509701346320561,False
ADORA1,0.19223538290977693,0.8580652515049919,0.3914854600052951,0.4513416981833228,False
SERPINB6,-0.10857885041786908,-0.857487012587477,0.39180434468393877,0.4516833665428342,False
RPRML,-0.19440127920859596,-0.8570464473430363,0.39204741192561576,0.45193759610812373,False
TSC2,-0.06291274944567604,-0.8568603374834844,0.392150119462036,0.4520300043241245,False
C5orf25,-0.06910787139688779,-0.8567191657643177,0.3922280381408812,0.45207440886402933,False
RNF157,-0.1871569503667061,-0.8567088422664797,0.3922337364887109,0.45207440886402933,False
STRA13,0.0878078458127245,0.8565720482666153,0.39230924858420496,0.4521354506014433,False
CDY2B,-0.01151505202114958,-0.8563234907835215,0.3924464782634835,0.45226761059793336,False
SCCPDH,0.0718142077434667,0.8557523188749122,0.39276193556317296,0.4526051386885233,False
COMMD4,0.06255127068054378,0.8555081284204984,0.39289684864975744,0.45271088711148016,False
IL26,0.14435214054238454,0.8554953081719004,0.3929039325042151,0.45271088711148016,False
SETD2,-0.04986356813918036,-0.8554535273465718,0.39292701912392236,0.45271088711148016,False
SHANK3,0.12700472454374356,0.8554227640448743,0.3929440183741192,0.45271088711148016,False
PRR23C,0.012562237762237765,0.855113627209668,0.3931148667132743,0.45288169832229086,False
LZTR1,0.0610537352890983,0.8542944091918176,0.39356783641898946,0.4533774846423866,False
C14orf148,0.096195710387174,0.8538283584948881,0.3938256711838087,0.4536484377361464,False
KLHL36,-0.05905050315538318,-0.8524137592368013,0.3946089035156049,0.4545245312510989,False
HS3ST2,-0.24191819034623707,-0.8523342731615737,0.3946529412671458,0.4545478135390523,False
FAM160B1,-0.05469829438853857,-0.8522954381581207,0.3946744581496939,0.4545478135390523,False
DUOXA1,0.2185773665359041,0.8521935193569308,0.3947309305670927,0.4545867408311435,False
ERBB3,0.07787225822957744,0.8518921479082157,0.39489794686970286,0.454752962767075,False
SPANXE,0.039413636363636366,0.8505419255385012,0.3956467501420691,0.4555890960457435,False
BSPH1,0.011412937062937063,0.8503823272400347,0.3957353167244339,0.45566491129184516,False
ZBTB8OS,-0.05895367559269982,-0.8493796061619896,0.39629203634706756,0.4562797363476918,False
TP53AIP1,-0.14550672010915844,-0.8492779205845458,0.3963485195964958,0.4563185654843377,False
GYPA,-0.020284649496844623,-0.8475665459957937,0.397299868598644,0.4573695804751645,False
CT45A3,0.11906853146853145,0.8475288562232087,0.3973208358095773,0.4573695804751645,False
C3orf74,0.05539327136278349,0.8475126655974434,0.39732984302825014,0.4573695804751645,False
TMEM161B,-0.06300845983284908,-0.8466621338438447,0.39780318738725867,0.4578881627598907,False
GUCY2E,0.02163321678321678,0.8459792574614311,0.39818347391757897,0.45829957818871747,False
PTH2R,-0.18048214224799586,-0.8452834956947445,0.39857116238988094,0.4587194653531435,False
C16orf81,-0.07376303939962481,-0.8447752083726112,0.3988545317019376,0.45901924926092574,False
OR2A12,0.01208006993006993,0.8447259612897711,0.3988819933392711,0.459024505908993,False
COX17,0.06388322531126533,0.8438849184880899,0.39935116030149165,0.4595380374222284,False
C13orf31,-0.096599548012966,-0.8434480645920488,0.39959498626276857,0.4597922223568729,False
FOXO3,-0.08686205014498682,-0.8432836461513213,0.3996867781900072,0.4598714508613362,False
KRTAP9-4,0.04317062937062936,0.8431663067699743,0.39975229449531446,0.4599204398135683,False
GSTTP1,0.022725524475524474,0.8430183522288931,0.3998349139869812,0.4599890994628743,False
PLIN2,-0.14324142930241024,-0.8429079142811061,0.39989659051112775,0.46003365883000236,False
HOOK2,-0.07256939280231478,-0.8426420479237586,0.4000450930513027,0.4601780904003797,False
MCART3P,-0.0627758059014158,-0.8420864964207153,0.4003555098701433,0.46048807932657637,False
HIST1H2BE,-0.12536134231622054,-0.8420775522218833,0.40036050866937056,0.46048807932657637,False
TRIB1,0.10174924100290283,0.8417267181912038,0.4005566150842664,0.4606872100292285,False
PRDM7,0.04085851100119389,0.8416058715697422,0.40062417839096787,0.4607384866776933,False
ADAM30,0.010917132867132867,0.841263693385043,0.4008155217482338,0.4609321027273925,False
GLB1L,0.10234141224629134,0.8409723484226275,0.4009784830258783,0.46109305945565837,False
CRYGA,0.012862237762237761,0.8404828863048379,0.4012523493911858,0.4613815223543772,False
LOC100240726,-0.11422620672010908,-0.840323279762841,0.40134167765248147,0.46145777250443015,False
C1orf229,-0.1325006396042987,-0.8401277608035632,0.4014511216450453,0.46155714140622506,False
SCARNA3,0.010797202797202797,0.8393158678057349,0.40190578060983423,0.4620374621702584,False
